name,ra,dec,notes,Letzter Zugriff,Erstellt am
Hofbilder_00001A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.3 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00002A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.2 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00003A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.1 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00004A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.2 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00005A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.0 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00006_.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.1 MB,13.02.2019,26.12.2021,11.07.2021
Hofbilder_00007A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.1 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00008A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.2 MB,15.02.2019,20.12.2021,11.07.2021
Hofbilder_00009A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.4 MB,15.02.2019,20.12.2021,11.07.2021
Hofbilder_00010A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.5 MB,14.02.2019,26.12.2021,11.07.2021
Hofbilder_00011A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.5 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00012A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.4 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00013A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.7 MB,15.02.2019,20.12.2021,11.07.2021
Hofbilder_00014A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.8 MB,13.02.2019,27.12.2021,11.07.2021
Hofbilder_00015_.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.4 MB,13.02.2019,27.12.2021,11.07.2021
Hofbilder_00016_.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.6 MB,13.02.2019,27.12.2021,11.07.2021
Hofbilder_00017A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.2 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00018A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.3 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00019A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.0 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00020A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,880.8 KB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00021A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.1 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00022A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.2 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00023A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.1 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00025A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.2 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00026A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.2 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00027A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.5 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00028A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.5 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00029A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.3 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00030A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.8 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00031A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.5 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00033A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.5 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00034A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.5 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00035A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.3 MB,15.02.2019,27.12.2021,11.07.2021
Hofbilder_00036A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.7 MB,15.02.2019,20.12.2021,11.07.2021
Hofbilder_00037A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.7 MB,15.02.2019,20.12.2021,11.07.2021
Hofbilder_00038A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.8 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00039A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.6 MB,15.02.2019,20.12.2021,11.07.2021
Hofbilder_00040A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.0 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00041A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.4 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00042A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.5 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00043A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.9 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00044A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.7 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00045A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.1 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00047A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,853.0 KB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00048A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,578.3 KB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00049A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.3 MB,17.02.2019,26.12.2021,11.07.2021
Hofbilder_00050A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.2 MB,17.02.2019,26.12.2021,11.07.2021
Hofbilder_00051_.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,3.1 MB,13.02.2019,26.12.2021,11.07.2021
Hofbilder_00053A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.7 MB,17.02.2019,20.12.2021,11.07.2021
Hofbilder_00054A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.6 MB,17.02.2019,20.12.2021,11.07.2021
Ordner002_00052A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.9 MB,13.02.2019,26.12.2021,11.07.2021


